"","Median","LCI","UCI"
"K",122949.508,81818.092,187218.818
"r",0.376,0.246,0.641
"psi",0.831,0.524,1.046
"sigma.proc",0.045,0.032,0.077
"Hmsy",0.316,0.207,0.539
"SBmsy",49177.563,32725.746,74884.116
"MSY",15474.286,13406.889,20524.777
"P1950",0.83,0.525,1.043
"P2015",0.632,0.486,0.808
"B_Bmsy.cur",1.579,1.215,2.02
"H_Hmsy.cur",0.421,0.254,0.609
