"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",122949.508,81818.092,187218.818,0.469,0.082
"r",0.376,0.246,0.641,0.706,0.14
"q.1",0,0,0,0.107,0.511
"q.2",0.006,0.003,0.009,0.143,0.179
"q.3",0,0,0,0.267,0.188
"q.4",0,0,0,0.255,0.469
"q.5",0.004,0.002,0.007,0.292,0.255
"psi",0.831,0.524,1.046,0.468,0.116
"sigma2",0.002,0.001,0.006,0.361,0.95
"tau2.1",0.008,0.001,0.11,0.767,0.177
"tau2.2",0.003,0,0.018,0.559,0.96
"tau2.3",0.058,0.008,0.165,0.208,0.602
"tau2.4",0.01,0.001,0.19,0.654,0.903
"tau2.5",0.007,0.001,0.072,0.086,0.136
