"","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"BRA_LL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.344819920286369,0.0293342360056805,0.402275717686079,-0.0103281562155846,0.0136364450744848,0.115172448477297,-0.0760229221513072,-0.117497792824137,NA,NA,NA
"SPA_LL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00403460261997335,-0.196897046887367,-0.144944241932701,-0.212956566663935,-0.339084410484172,-0.177720608972422,0.0137407773315399,0.0139846337040792,-0.00550359770807241,0.0201301080745884,0.0693989302759839,0.265967437494258,0.160230958363694,0.123447996800605,-0.019266539634927,-0.0811194822288543,0.0783339965871894,0.0530106129626624,0.00736633724694169,0.0112729536043501,0.0842799866327049,0.0544659978738364,0.0290151283382034,0.0628166218940862,0.021248685391722,-0.000348307007363324,0.0423559935002116
"JPN_LL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.779331496876239,0.354465438007935,0.190685108872997,0.184505471848289,0.344683364384849,0.0811730080220444,0.201254997159081,0.121415805690993,0.153135813373941,-0.032603721876923,-0.353275168081016,-0.526905307732394,-0.287535217933768,-0.452860284941428,-0.429134871057533,-0.673033667528087,-0.141990195056714,0.132500266105899,0.0578726619091405,0.152387548805619,0.064910651443304,-0.108243332083154,0.123047072403887,0.0184242588651164,-0.0204849775458397,-0.0577979267020324
"URU_LL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444235386188512,0.000673251367356631,0.391500225064082,0.179678956910426,0.151401426845231,0.16966684410262,0.0551113765111957,-0.336321631747912,-0.267755825657448,-0.335232960232297,-0.826863140938224,0.0736378650163931,NA,NA,NA
"SA_LL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40205290932339,0.322428610835717,0.0641637553240049,0.130492101138821,-0.0338917185826952,-0.10359137055604,0.00725331919514094,-0.214458467291666,-0.309250363276896,-0.0464518689087123,-0.170327407948919,-0.0999332617433053
