"","tac","2019","2020","2021","2022","2023","2024","2025"
"1",10000,19.5,31,42.5,52.6,61,67.8,73.9
"2",11000,17,25.4,33.6,41,47.6,53.4,58.9
"3",12000,14.7,19.5,24.2,28.7,33.3,37.1,40.4
"4",13000,12.4,14.3,16.6,18.2,20.1,21.8,23.3
"5",14000,8.2,8.5,8.8,9.1,9.6,9.7,10
"6",15000,3.5,3.3,3.1,2.8,2.8,2.7,2.5
"7",16000,1.6,1.3,1,0.8,0.7,0.6,0.4
"8",17000,0.6,0.3,0.2,0.1,0.1,0.1,0.1
"9",18000,0.2,0.2,0.1,0.1,0.1,0.1,0
