"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",141517.297,100943.677,200208.169,0.646,0.059
"r",0.278,0.183,0.416,0.792,0.561
"q",0.005,0.003,0.007,0.802,0.068
"psi",0.851,0.652,1.022,0.58,0.886
"sigma2",0.002,0.001,0.006,0.902,0.767
"tau2",0.001,0,0.007,0.769,0.521
