"","Median","LCI","UCI"
"K",141517.297,100943.677,200208.169
"r",0.278,0.183,0.416
"psi",0.851,0.652,1.022
"sigma.proc",0.045,0.032,0.077
"Hmsy",0.234,0.154,0.35
"SBmsy",56604.34,40375.632,80079.62
"MSY",13320.785,11805.431,14642.843
"P1950",0.85,0.653,1.022
"P2015",0.266,0.209,0.338
"B_Bmsy.cur",0.666,0.522,0.845
"H_Hmsy.cur",1.163,0.883,1.524
