"","tac","2019","2020","2021","2022","2023","2024","2025"
"1",10000,70,76.5,81.4,84.9,87.9,89.8,91.3
"2",11000,50.9,57.6,62.9,67.4,71,74.3,76.6
"3",12000,32.2,36.7,40.8,44.5,47.7,50.4,52.6
"4",13000,18.6,20.6,22.6,23.8,25.3,26.8,28
"5",14000,9.1,9.3,9.5,9.9,10.3,10.3,10.6
"6",15000,3.5,3.3,3.2,2.9,2.8,2.7,2.5
"7",16000,1.6,1.3,1,0.8,0.7,0.6,0.4
"8",17000,0.6,0.3,0.2,0.1,0.1,0.1,0.1
"9",18000,0.2,0.2,0.1,0.1,0.1,0.1,0
