"","tac","2019","2020","2021","2022","2023","2024","2025"
"1",10000,19.5,31,42.5,52.6,61,67.8,73.9
"2",11000,17,25.4,33.6,41,47.6,53.4,58.9
"3",12000,14.7,19.5,24.2,28.7,33.3,37.1,40.4
"4",13000,12.7,14.6,16.9,18.4,20.4,22.1,23.7
"5",14000,10.2,10.4,10.6,10.4,11,11.1,11.3
"6",15000,8.5,7.1,6.2,5.6,5,4.6,4.1
"7",16000,7,5.3,3.8,2.8,2.2,1.8,1.3
"8",17000,5.6,3.4,2.1,1.1,0.8,0.6,0.4
"9",18000,4.4,2,1.2,0.7,0.4,0.3,0.2
