"","Median","LCI","UCI"
"K",111468.825,78494.459,163251.777
"r",0.372,0.239,0.558
"psi",0.871,0.618,1.052
"sigma.proc",0.055,0.032,0.095
"Hmsy",0.313,0.201,0.469
"SBmsy",44585.499,31396.353,65297.736
"MSY",13978.252,12616.122,15370.454
"P1950",0.87,0.617,1.051
"P2015",0.299,0.218,0.407
"B_Bmsy.cur",0.747,0.545,1.018
"H_Hmsy.cur",0.985,0.723,1.313
