"","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"BRA_LL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.440066420138748,-0.0447955159792862,0.351949171629243,-0.00549808858105966,0.0322238234420739,0.160052732468778,-0.00425152519871647,-0.0414685184898336,NA,NA,NA
"SPA_LL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0307183041844601,-0.21588689438845,-0.140213290152454,-0.191045558524143,-0.309046680521505,-0.133771066104976,0.0840527465677487,0.12861240921319,0.155547630592648,0.246863842591525,0.353517827690645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPA_LL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0713519343528244,-0.100784642729564,-0.0778839143455876,-0.165900458101826,-0.198915127527614,-0.0109117716533209,-0.0160815729058292,-0.0381871227789121,0.0192890323843233,0.107717432842199,0.10311281326132,0.106901869768619,0.144839679952502,0.0983657185188029,0.0251861280376691,0.020711843312343
"JPN_LL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.526849957823464,0.127218436186654,-0.0190769355131312,-0.0161170111309751,0.155192766467323,-0.0803744097633843,0.0837903928734454,0.0492808602358495,0.14653564194231,0.0179665980597679,-0.217389961641737,-0.315161467782708,-0.0152293235703763,-0.128487943496191,-0.0746161576442816,-0.291531619672901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JPN_LL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.258457645558732,0.0390622203867585,0.0201664505297081,0.129279893286446,0.0669228462973341,-0.0775321499878595,0.158689321842478,0.0502590395715294,-0.0440839532268493,-0.125906058289048
"URU_LL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.238045445978526,-0.145166943378741,0.298231925581165,0.115828435206079,0.114918077215352,0.152943741371931,0.0645079608822581,-0.270972200297756,-0.187513108379446,-0.231119870307487,-0.693161374879685,0.209334678275354,NA,NA,NA
"SA_LL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283975709614813,0.233306950492465,-0.00669967151246365,0.083046701481905,-0.0255405296295255,-0.0797277384450137,0.0549169983553996,-0.138796308486945,-0.229749930971373,0.0320988899906434,-0.148990876788906,-0.126225156490142
