"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",122624.775,73137.138,203510.229,0.393,0.622
"r",0.572,0.307,1.03,0.938,0.967
"q.1",0,0,0,0.312,0.529
"q.2",0,0,0,0.202,0.462
"q.3",0.004,0.002,0.007,0.542,0.534
"q.4",0,0,0,0.38,0.441
"q.5",0,0,0,0.833,0.792
"q.6",0.003,0.002,0.005,0.327,0.829
"psi",0.926,0.647,1.116,0.152,0.495
"sigma2",0.002,0.001,0.005,0.373,0.939
"tau2.1",0.07,0.002,0.234,0.696,0.834
"tau2.2",0.008,0.001,0.117,0.1,0.273
"tau2.3",0.002,0,0.013,0.642,0.289
"tau2.4",0.109,0.038,0.253,0.889,0.101
"tau2.5",0.01,0.001,0.166,0.592,0.228
"tau2.6",0.006,0.001,0.058,0.48,0.406
