"","Median","LCI","UCI"
"K",125444.625,75147.432,212398.536
"r",0.533,0.278,0.984
"psi",0.86,0.611,1.09
"sigma.proc",0.045,0.032,0.071
"Hmsy",0.449,0.234,0.828
"SBmsy",50175.564,30057.604,84955.545
"MSY",22161.241,15148.261,38223.607
"P1950",0.859,0.611,1.088
"P2015",0.813,0.612,0.951
"B_Bmsy.cur",2.033,1.531,2.378
"H_Hmsy.cur",0.227,0.117,0.434
