"","Median","LCI","UCI"
"K",90125.595,60463.429,150307.326
"r",0.483,0.261,0.769
"psi",0.882,0.589,1.094
"sigma.proc",0.055,0.032,0.095
"Hmsy",0.406,0.22,0.648
"SBmsy",36048.596,24184.27,60120.192
"MSY",14683.827,13098.337,15952.564
"P1950",0.882,0.589,1.092
"P2015",0.352,0.211,0.522
"B_Bmsy.cur",0.88,0.527,1.306
"H_Hmsy.cur",0.797,0.511,1.403
