"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",125444.625,75147.432,212398.536,0.956,0.548
"r",0.533,0.278,0.984,0.93,0.683
"q.1",0,0,0,0.801,0.828
"q.2",0,0,0,0.313,0.728
"q.3",0.004,0.002,0.007,0.926,0.98
"q.4",0,0,0,0.869,0.974
"q.5",0,0,0,0.953,0.947
"q.6",0.003,0.002,0.006,0.827,0.994
"psi",0.86,0.611,1.09,0.672,0.771
"sigma2",0.002,0.001,0.005,0.458,0.833
"tau2.1",0.075,0.002,0.256,0.314,0.235
"tau2.2",0.008,0.001,0.112,0.919,0.867
"tau2.3",0.002,0,0.013,0.795,0.774
"tau2.4",0.106,0.035,0.245,0.152,0.216
"tau2.5",0.01,0.001,0.168,0.857,0.908
"tau2.6",0.006,0.001,0.059,0.093,0.601
