"","Median","LCI","UCI"
"K",104452.1,75690.614,146342.282
"r",0.404,0.271,0.585
"psi",0.839,0.585,1.052
"sigma.proc",0.055,0.032,0.095
"Hmsy",0.34,0.228,0.492
"SBmsy",41778.937,30274.866,58534.246
"MSY",14171.385,12842.249,15387.687
"P1950",0.839,0.583,1.051
"P2015",0.295,0.221,0.398
"B_Bmsy.cur",0.736,0.552,0.995
"H_Hmsy.cur",0.986,0.74,1.305
