"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",104452.1,75690.614,146342.282,0.046,0.157
"r",0.404,0.271,0.585,0.05,0.264
"q.1",0,0,0,0.314,0.109
"q.2",0.007,0.004,0.011,0.127,0.117
"q.3",0.014,0.009,0.023,0.131,0.094
"q.4",0,0,0,0.099,0.1
"q.5",0,0,0,0.051,0.072
"q.6",0,0,0,0.128,0.151
"q.7",0.011,0.007,0.018,0.252,0.075
"psi",0.839,0.585,1.052,0.378,0.344
"sigma2",0.003,0.001,0.009,0.383,0.308
"tau2.1",0.009,0.001,0.124,0.628,0.666
"tau2.2",0.01,0.001,0.1,0.098,0.648
"tau2.3",0.003,0,0.023,0.541,0.936
"tau2.4",0.007,0.001,0.057,0.247,0.025
"tau2.5",0.004,0.001,0.045,0.047,0.117
"tau2.6",0.009,0.001,0.137,0.136,0.242
"tau2.7",0.004,0,0.045,0.64,0.174
